0.38	0.16714	0.48675	0.51563	-0.55887	-0.22226	-0.43418	0.8542	-0.29812	-0.13533	0.74836	0.49026	-0.16431	0.16833	-0.17839	-0.055297	-0.17941	-0.36811	-0.088682	-1.1532	-0.56981	0.64881	0.53748	-0.12369	-0.062792	-0.26655	0.75196	-0.11281	0.8733	0.59548
0.156	-0.1987	0.5093	0.93236	0.27963	0.19043	-0.032272	0.22718	0.82615	0.045309	0.73892	0.56579	-0.092079	-0.20544	-0.32777	0.033091	-0.34153	-0.19879	-0.14745	0.49381	-0.51982	0.97325	0.57943	-0.88153	0.77946	1.0857	0.67535	-0.23334	0.46371	0.50391
0.224	0.26867	0.32259	2.3942	-0.41928	0.1094	-0.49408	1.3918	-0.36509	-0.34101	1.0751	0.29178	0.48939	-0.91328	-0.48527	-0.29724	-1.0727	0.044321	-0.32365	0.79516	-0.90811	1.7202	-0.53918	-0.42183	1.3258	0.2969	1.0021	-0.56289	0.35891	-0.46638
0.0265	0.86253	0.2395	0.15591	-0.12713	1.2155	0.036096	1.2091	-0.080231	0.57364	0.69896	0.29837	0.19412	-0.56318	-0.68264	-0.91152	-0.79226	0.17197	0.31078	1.2056	-0.88704	0.096584	0.45346	-0.036731	1.6068	0.89144	1.0734	0.38218	-0.3745	0.067549
0.442	-0.29063	0.68218	0.91846	-1.1284	0.50969	0.32261	0.64248	0.65218	0.22345	0.77668	-0.28337	-0.18735	0.74021	0.10366	-0.45937	-0.42832	0.50689	0.62285	-0.55921	-0.50181	-0.10344	-0.31701	-0.25029	0.080719	-0.439	1.4674	0.028095	0.33742	-0.25013
0.447	-0.32987	-0.92397	0.45072	-1.3496	1.5493	-0.42957	0.15181	0.44668	1.0028	1.1491	-0.28991	-0.77256	-1.0767	-0.89033	-0.95332	-1.2762	0.20134	-0.30355	-0.74593	-0.34603	0.25205	0.88389	0.098677	0.71387	0.1273	1.3789	-0.3572	-0.075367	2.258
0.463	0.027844	0.076354	0.46242	-1.7709	0.83156	0.54272	1.7773	0.38688	-0.45227	-0.010139	-0.27471	-0.047464	-0.45498	-0.4658	-1.5018	-0.49285	-0.097072	-0.15386	-0.85362	-0.67775	-0.049943	1.2363	-0.27637	-0.32959	0.51739	0.321	-0.47877	-0.074362	1.7317
0.0517	-0.54905	1.3928	1.2409	-1.2086	-0.83229	-0.85969	1.4949	-0.20407	-0.012173	1.1615	-0.69872	0.70197	-0.52692	-0.54239	0.27048	-0.8646	-0.3695	0.0073506	-0.058944	-0.81778	0.82839	0.2992	0.62396	2.465	0.049923	1.2729	1.3898	0.12778	0.070358
0.518	-0.23803	0.19924	-0.56994	-0.48782	1.4655	-1.0099	0.63291	0.63589	0.71277	0.4313	0.39968	0.099044	-1.0101	0.25064	0.44033	-0.012274	-0.26342	0.10773	-1.6773	0.17739	1.337	0.57596	0.037553	2.2951	-0.42565	1.101	0.13673	-0.0054047	0.24714
0.0655	-1.0928	0.0048201	1.4252	-2.4081	0.017267	-0.55878	1.0779	1.2321	0.17535	0.6747	0.84185	-0.29389	0.16836	1.6091	-0.30114	-1.0469	1.5328	-0.29422	0.1585	0.61744	0.1629	1.168	0.53958	0.42362	-0.31282	1.2902	0.52285	0.92186	0.07628
0.0677	-0.57296	-1.0197	0.68476	-0.47047	0.37853	0.057144	1.3588	0.27	0.079616	0.49063	0.35563	-0.97762	-0.43486	0.12	-0.89213	-0.75215	0.0083127	0.32526	-0.085691	-1.1566	-0.061069	0.80504	-0.12746	0.26738	0.14072	0.10904	0.25674	-0.4117	0.63856
0.0723	-0.33757	-0.13002	0.43402	-0.86409	1.1838	-0.4106	1.4994	1.6732	-0.21256	0.54168	-0.35332	0.005894	-0.096765	-1.2228	-1.5155	-0.4149	0.5989	0.96776	-0.5082	-0.88063	0.17249	-0.069112	0.3794	1.8271	-1.0563	0.96551	-0.95861	0.515	0.4367
